#    L    TT             EE             BB             TE             PP             TP             EP          
   131   0.372688E+04   0.108814E+01   0.000000E+00  -0.412063E+02   0.839570E-07   0.270132E-03  -0.969134E-06
   132   0.376149E+04   0.109216E+01   0.000000E+00  -0.416218E+02   0.834529E-07   0.267427E-03  -0.986727E-06
   133   0.379608E+04   0.109570E+01   0.000000E+00  -0.420208E+02   0.829528E-07   0.264764E-03  -0.100323E-05
   134   0.383064E+04   0.109876E+01   0.000000E+00  -0.424028E+02   0.824568E-07   0.262142E-03  -0.101862E-05
   135   0.386517E+04   0.110132E+01   0.000000E+00  -0.427676E+02   0.819647E-07   0.259560E-03  -0.103290E-05
   136   0.389966E+04   0.110340E+01   0.000000E+00  -0.431143E+02   0.814767E-07   0.257018E-03  -0.104604E-05
   137   0.393411E+04   0.110499E+01   0.000000E+00  -0.434427E+02   0.809926E-07   0.254515E-03  -0.105804E-05
   138   0.396850E+04   0.110608E+01   0.000000E+00  -0.437524E+02   0.805124E-07   0.252050E-03  -0.106887E-05
   139   0.400282E+04   0.110668E+01   0.000000E+00  -0.440429E+02   0.800360E-07   0.249623E-03  -0.107853E-05
   140   0.403708E+04   0.110679E+01   0.000000E+00  -0.443138E+02   0.795636E-07   0.247231E-03  -0.108699E-05
   141   0.407126E+04   0.110642E+01   0.000000E+00  -0.445648E+02   0.790950E-07   0.244876E-03  -0.109426E-05
   142   0.410534E+04   0.110556E+01   0.000000E+00  -0.447954E+02   0.786301E-07   0.242555E-03  -0.110030E-05
   143   0.413934E+04   0.110421E+01   0.000000E+00  -0.450052E+02   0.781691E-07   0.240269E-03  -0.110512E-05
   144   0.417323E+04   0.110238E+01   0.000000E+00  -0.451939E+02   0.777118E-07   0.238016E-03  -0.110869E-05
   145   0.420701E+04   0.110007E+01   0.000000E+00  -0.453609E+02   0.772582E-07   0.235796E-03  -0.111100E-05
   146   0.424064E+04   0.109728E+01   0.000000E+00  -0.455061E+02   0.768083E-07   0.233607E-03  -0.111204E-05
   147   0.427414E+04   0.109404E+01   0.000000E+00  -0.456289E+02   0.763621E-07   0.231449E-03  -0.111178E-05
   148   0.430747E+04   0.109033E+01   0.000000E+00  -0.457289E+02   0.759195E-07   0.229322E-03  -0.111023E-05
   149   0.434063E+04   0.108617E+01   0.000000E+00  -0.458058E+02   0.754805E-07   0.227224E-03  -0.110736E-05
   150   0.437361E+04   0.108157E+01   0.000000E+00  -0.458592E+02   0.750452E-07   0.225155E-03  -0.110317E-05
   151   0.440637E+04   0.107652E+01   0.000000E+00  -0.458887E+02   0.746133E-07   0.223113E-03  -0.109764E-05
   152   0.443893E+04   0.107104E+01   0.000000E+00  -0.458940E+02   0.741850E-07   0.221099E-03  -0.109084E-05
   153   0.447127E+04   0.106515E+01   0.000000E+00  -0.458750E+02   0.737603E-07   0.219112E-03  -0.108283E-05
   154   0.450340E+04   0.105886E+01   0.000000E+00  -0.458313E+02   0.733390E-07   0.217151E-03  -0.107369E-05
   155   0.453530E+04   0.105216E+01   0.000000E+00  -0.457626E+02   0.729212E-07   0.215217E-03  -0.106347E-05
   156   0.456698E+04   0.104509E+01   0.000000E+00  -0.456689E+02   0.725068E-07   0.213307E-03  -0.105226E-05
   157   0.459842E+04   0.103763E+01   0.000000E+00  -0.455497E+02   0.720958E-07   0.211422E-03  -0.104011E-05
   158   0.462962E+04   0.102983E+01   0.000000E+00  -0.454048E+02   0.716882E-07   0.209562E-03  -0.102711E-05
   159   0.466058E+04   0.102168E+01   0.000000E+00  -0.452341E+02   0.712840E-07   0.207725E-03  -0.101330E-05
   160   0.469127E+04   0.101320E+01   0.000000E+00  -0.450373E+02   0.708832E-07   0.205912E-03  -0.998776E-06
   161   0.472169E+04   0.100441E+01   0.000000E+00  -0.448142E+02   0.704856E-07   0.204122E-03  -0.983592E-06
   162   0.475182E+04   0.995318E+00   0.000000E+00  -0.445646E+02   0.700914E-07   0.202354E-03  -0.967819E-06
   163   0.478165E+04   0.985963E+00   0.000000E+00  -0.442883E+02   0.697004E-07   0.200608E-03  -0.951526E-06
   164   0.481116E+04   0.976339E+00   0.000000E+00  -0.439852E+02   0.693127E-07   0.198883E-03  -0.934782E-06
   165   0.484036E+04   0.966471E+00   0.000000E+00  -0.436549E+02   0.689282E-07   0.197179E-03  -0.917655E-06
   166   0.486921E+04   0.956380E+00   0.000000E+00  -0.432975E+02   0.685470E-07   0.195496E-03  -0.900214E-06
   167   0.489773E+04   0.946089E+00   0.000000E+00  -0.429128E+02   0.681689E-07   0.193832E-03  -0.882526E-06
   168   0.492590E+04   0.935620E+00   0.000000E+00  -0.425008E+02   0.677939E-07   0.192188E-03  -0.864661E-06
   169   0.495370E+04   0.924995E+00   0.000000E+00  -0.420614E+02   0.674221E-07   0.190562E-03  -0.846687E-06
   170   0.498114E+04   0.914229E+00   0.000000E+00  -0.415945E+02   0.670535E-07   0.188955E-03  -0.828673E-06
   171   0.500820E+04   0.903352E+00   0.000000E+00  -0.411000E+02   0.666879E-07   0.187366E-03  -0.810686E-06
   172   0.503489E+04   0.892386E+00   0.000000E+00  -0.405779E+02   0.663254E-07   0.185794E-03  -0.792795E-06
   173   0.506118E+04   0.881354E+00   0.000000E+00  -0.400282E+02   0.659659E-07   0.184239E-03  -0.775068E-06
   174   0.508706E+04   0.870278E+00   0.000000E+00  -0.394508E+02   0.656095E-07   0.182700E-03  -0.757575E-06
   175   0.511254E+04   0.859195E+00   0.000000E+00  -0.388459E+02   0.652560E-07   0.181178E-03  -0.740383E-06
   176   0.513760E+04   0.848119E+00   0.000000E+00  -0.382134E+02   0.649056E-07   0.179670E-03  -0.723545E-06
   177   0.516223E+04   0.837089E+00   0.000000E+00  -0.375533E+02   0.645581E-07   0.178178E-03  -0.707059E-06
   178   0.518641E+04   0.826127E+00   0.000000E+00  -0.368657E+02   0.642135E-07   0.176701E-03  -0.690904E-06
   179   0.521016E+04   0.815254E+00   0.000000E+00  -0.361506E+02   0.638718E-07   0.175238E-03  -0.675062E-06
   180   0.523345E+04   0.804508E+00   0.000000E+00  -0.354082E+02   0.635330E-07   0.173790E-03  -0.659514E-06
   181   0.525629E+04   0.793920E+00   0.000000E+00  -0.346385E+02   0.631970E-07   0.172357E-03  -0.644241E-06
   182   0.527866E+04   0.783518E+00   0.000000E+00  -0.338417E+02   0.628638E-07   0.170937E-03  -0.629225E-06
   183   0.530055E+04   0.773326E+00   0.000000E+00  -0.330179E+02   0.625334E-07   0.169531E-03  -0.614445E-06
   184   0.532197E+04   0.763380E+00   0.000000E+00  -0.321674E+02   0.622058E-07   0.168138E-03  -0.599884E-06
