#    L    TT             EE             TE             PP             TP          
   109   0.297827E+04   0.891611E+00  -0.289631E+02   0.440367E+07   0.576541E+04
   110   0.301116E+04   0.904291E+00  -0.296055E+02   0.437713E+07   0.570272E+04
   111   0.304420E+04   0.916690E+00  -0.302436E+02   0.435077E+07   0.564089E+04
   112   0.307740E+04   0.928803E+00  -0.308767E+02   0.432457E+07   0.557991E+04
   113   0.311074E+04   0.940606E+00  -0.315042E+02   0.429853E+07   0.551977E+04
   114   0.314421E+04   0.952085E+00  -0.321257E+02   0.427267E+07   0.546046E+04
   115   0.317781E+04   0.963240E+00  -0.327404E+02   0.424698E+07   0.540198E+04
   116   0.321154E+04   0.974055E+00  -0.333479E+02   0.422146E+07   0.534431E+04
   117   0.324538E+04   0.984509E+00  -0.339475E+02   0.419612E+07   0.528747E+04
   118   0.327933E+04   0.994601E+00  -0.345388E+02   0.417094E+07   0.523143E+04
   119   0.331339E+04   0.100432E+01  -0.351210E+02   0.414593E+07   0.517619E+04
   120   0.334753E+04   0.101365E+01  -0.356938E+02   0.412110E+07   0.512175E+04
   121   0.338177E+04   0.102258E+01  -0.362564E+02   0.409644E+07   0.506809E+04
   122   0.341607E+04   0.103110E+01  -0.368084E+02   0.407196E+07   0.501522E+04
   123   0.345045E+04   0.103921E+01  -0.373492E+02   0.404764E+07   0.496312E+04
   124   0.348489E+04   0.104690E+01  -0.378782E+02   0.402350E+07   0.491179E+04
   125   0.351937E+04   0.105415E+01  -0.383949E+02   0.399954E+07   0.486123E+04
   126   0.355390E+04   0.106096E+01  -0.388988E+02   0.397575E+07   0.481142E+04
   127   0.358847E+04   0.106732E+01  -0.393892E+02   0.395213E+07   0.476236E+04
   128   0.362305E+04   0.107323E+01  -0.398657E+02   0.392870E+07   0.471405E+04
   129   0.365766E+04   0.107867E+01  -0.403278E+02   0.390543E+07   0.466647E+04
   130   0.369228E+04   0.108364E+01  -0.407748E+02   0.388235E+07   0.461962E+04
   131   0.372688E+04   0.108814E+01  -0.412063E+02   0.385944E+07   0.457350E+04
   132   0.376149E+04   0.109216E+01  -0.416218E+02   0.383670E+07   0.452808E+04
   133   0.379608E+04   0.109570E+01  -0.420208E+02   0.381414E+07   0.448337E+04
   134   0.383064E+04   0.109876E+01  -0.424028E+02   0.379176E+07   0.443934E+04
   135   0.386517E+04   0.110132E+01  -0.427676E+02   0.376955E+07   0.439598E+04
   136   0.389966E+04   0.110340E+01  -0.431143E+02   0.374751E+07   0.435329E+04
   137   0.393411E+04   0.110499E+01  -0.434427E+02   0.372564E+07   0.431124E+04
   138   0.396850E+04   0.110608E+01  -0.437524E+02   0.370393E+07   0.426982E+04
   139   0.400282E+04   0.110668E+01  -0.440429E+02   0.368240E+07   0.422902E+04
   140   0.403708E+04   0.110679E+01  -0.443138E+02   0.366104E+07   0.418883E+04
   141   0.407126E+04   0.110642E+01  -0.445648E+02   0.363984E+07   0.414924E+04
   142   0.410534E+04   0.110556E+01  -0.447954E+02   0.361881E+07   0.411023E+04
   143   0.413934E+04   0.110421E+01  -0.450052E+02   0.359794E+07   0.407178E+04
   144   0.417323E+04   0.110238E+01  -0.451939E+02   0.357724E+07   0.403389E+04
   145   0.420701E+04   0.110007E+01  -0.453609E+02   0.355670E+07   0.399655E+04
   146   0.424064E+04   0.109728E+01  -0.455061E+02   0.353632E+07   0.395973E+04
   147   0.427414E+04   0.109404E+01  -0.456289E+02   0.351610E+07   0.392343E+04
   148   0.430747E+04   0.109033E+01  -0.457289E+02   0.349604E+07   0.388763E+04
   149   0.434063E+04   0.108617E+01  -0.458058E+02   0.347614E+07   0.385233E+04
   150   0.437361E+04   0.108157E+01  -0.458592E+02   0.345640E+07   0.381750E+04
   151   0.440637E+04   0.107652E+01  -0.458887E+02   0.343681E+07   0.378313E+04
   152   0.443893E+04   0.107104E+01  -0.458940E+02   0.341738E+07   0.374923E+04
   153   0.447127E+04   0.106515E+01  -0.458750E+02   0.339810E+07   0.371577E+04
   154   0.450340E+04   0.105886E+01  -0.458313E+02   0.337898E+07   0.368275E+04
   155   0.453530E+04   0.105216E+01  -0.457626E+02   0.336001E+07   0.365016E+04
   156   0.456698E+04   0.104509E+01  -0.456689E+02   0.334119E+07   0.361800E+04
   157   0.459842E+04   0.103763E+01  -0.455497E+02   0.332252E+07   0.358625E+04
   158   0.462962E+04   0.102983E+01  -0.454048E+02   0.330400E+07   0.355491E+04
