#    L    TT             EE             BB             TE          
   174   0.508519E+04   0.881685E+00   0.102970E-01  -0.392571E+02
   175   0.511053E+04   0.870890E+00   0.104287E-01  -0.386506E+02
   176   0.513545E+04   0.860109E+00   0.105614E-01  -0.380165E+02
   177   0.515994E+04   0.849380E+00   0.106951E-01  -0.373550E+02
   178   0.518399E+04   0.838725E+00   0.108298E-01  -0.366661E+02
   179   0.520760E+04   0.828167E+00   0.109655E-01  -0.359498E+02
   180   0.523075E+04   0.817742E+00   0.111021E-01  -0.352063E+02
   181   0.525344E+04   0.807480E+00   0.112397E-01  -0.344357E+02
   182   0.527567E+04   0.797412E+00   0.113783E-01  -0.336380E+02
   183   0.529742E+04   0.787559E+00   0.115178E-01  -0.328136E+02
   184   0.531869E+04   0.777960E+00   0.116583E-01  -0.319625E+02
   185   0.533947E+04   0.768650E+00   0.117997E-01  -0.310848E+02
   186   0.535975E+04   0.759652E+00   0.119420E-01  -0.301808E+02
   187   0.537953E+04   0.750997E+00   0.120853E-01  -0.292506E+02
   188   0.539881E+04   0.742725E+00   0.122295E-01  -0.282945E+02
   189   0.541757E+04   0.734867E+00   0.123746E-01  -0.273126E+02
   190   0.543580E+04   0.727458E+00   0.125207E-01  -0.263053E+02
   191   0.545351E+04   0.720529E+00   0.126676E-01  -0.252728E+02
   192   0.547068E+04   0.714115E+00   0.128154E-01  -0.242153E+02
   193   0.548729E+04   0.708249E+00   0.129641E-01  -0.231331E+02
   194   0.550337E+04   0.702968E+00   0.131136E-01  -0.220265E+02
   195   0.551889E+04   0.698307E+00   0.132641E-01  -0.208959E+02
   196   0.553385E+04   0.694301E+00   0.134153E-01  -0.197417E+02
   197   0.554826E+04   0.690987E+00   0.135674E-01  -0.185641E+02
   198   0.556212E+04   0.688402E+00   0.137203E-01  -0.173637E+02
   199   0.557540E+04   0.686580E+00   0.138741E-01  -0.161406E+02
   200   0.558812E+04   0.685558E+00   0.140286E-01  -0.148954E+02
   201   0.560026E+04   0.685372E+00   0.141840E-01  -0.136284E+02
   202   0.561182E+04   0.686059E+00   0.143401E-01  -0.123401E+02
   203   0.562278E+04   0.687656E+00   0.144970E-01  -0.110307E+02
   204   0.563314E+04   0.690197E+00   0.146546E-01  -0.970087E+01
   205   0.564287E+04   0.693721E+00   0.148130E-01  -0.835094E+01
   206   0.565198E+04   0.698263E+00   0.149721E-01  -0.698130E+01
   207   0.566046E+04   0.703860E+00   0.151319E-01  -0.559236E+01
   208   0.566829E+04   0.710548E+00   0.152924E-01  -0.418470E+01
   209   0.567552E+04   0.718362E+00   0.154536E-01  -0.275887E+01
   210   0.568212E+04   0.727341E+00   0.156155E-01  -0.131541E+01
   211   0.568809E+04   0.737520E+00   0.157780E-01   0.145102E+00
   212   0.569347E+04   0.748935E+00   0.159411E-01   0.162213E+01
   213   0.569824E+04   0.761623E+00   0.161049E-01   0.311509E+01
   214   0.570241E+04   0.775620E+00   0.162693E-01   0.462346E+01
   215   0.570598E+04   0.790957E+00   0.164342E-01   0.614662E+01
   216   0.570894E+04   0.807677E+00   0.165998E-01   0.768399E+01
   217   0.571129E+04   0.825811E+00   0.167659E-01   0.923495E+01
   218   0.571303E+04   0.845387E+00   0.169325E-01   0.107990E+02
   219   0.571415E+04   0.866449E+00   0.170996E-01   0.123754E+02
   220   0.571464E+04   0.889028E+00   0.172673E-01   0.139638E+02
   221   0.571451E+04   0.913151E+00   0.174354E-01   0.155632E+02
   222   0.571375E+04   0.938864E+00   0.176041E-01   0.171734E+02
   223   0.571236E+04   0.966188E+00   0.177731E-01   0.187934E+02
   224   0.571035E+04   0.995159E+00   0.179426E-01   0.204228E+02
   225   0.570773E+04   0.102580E+01   0.181125E-01   0.220607E+02
   226   0.570448E+04   0.105815E+01   0.182828E-01   0.237066E+02
   227   0.570060E+04   0.109225E+01   0.184535E-01   0.253598E+02
   228   0.569611E+04   0.112811E+01   0.186246E-01   0.270196E+02
   229   0.569101E+04   0.116578E+01   0.187959E-01   0.286854E+02
   230   0.568529E+04   0.120527E+01   0.189676E-01   0.303564E+02
   231   0.567895E+04   0.124661E+01   0.191396E-01   0.320320E+02
   232   0.567202E+04   0.128983E+01   0.193119E-01   0.337114E+02
   233   0.566447E+04   0.133496E+01   0.194845E-01   0.353939E+02
   234   0.565631E+04   0.138202E+01   0.196572E-01   0.370788E+02
   235   0.564755E+04   0.143104E+01   0.198302E-01   0.387656E+02
   236   0.563818E+04   0.148205E+01   0.200035E-01   0.404532E+02
   237   0.562822E+04   0.153507E+01   0.201769E-01   0.421412E+02
   238   0.561767E+04   0.159010E+01   0.203504E-01   0.438287E+02
   239   0.560652E+04   0.164718E+01   0.205241E-01   0.455150E+02
   240   0.559479E+04   0.170633E+01   0.206979E-01   0.471992E+02
   241   0.558247E+04   0.176758E+01   0.208719E-01   0.488809E+02
   242   0.556958E+04   0.183093E+01   0.210459E-01   0.505591E+02
   243   0.555611E+04   0.189641E+01   0.212199E-01   0.522331E+02
   244   0.554206E+04   0.196403E+01   0.213941E-01   0.539023E+02
   245   0.552746E+04   0.203382E+01   0.215682E-01   0.555659E+02
   246   0.551230E+04   0.210576E+01   0.217424E-01   0.572233E+02
   247   0.549659E+04   0.217990E+01   0.219165E-01   0.588736E+02
   248   0.548034E+04   0.225625E+01   0.220906E-01   0.605161E+02
   249   0.546354E+04   0.233480E+01   0.222646E-01   0.621502E+02
   250   0.544622E+04   0.241558E+01   0.224386E-01   0.637750E+02
   251   0.542835E+04   0.249859E+01   0.226125E-01   0.653897E+02
   252   0.540996E+04   0.258383E+01   0.227863E-01   0.669937E+02
   253   0.539104E+04   0.267131E+01   0.229599E-01   0.685861E+02
   254   0.537161E+04   0.276105E+01   0.231334E-01   0.701660E+02
   255   0.535164E+04   0.285304E+01   0.233067E-01   0.717328E+02
   256   0.533116E+04   0.294728E+01   0.234798E-01   0.732857E+02
   257   0.531018E+04   0.304378E+01   0.236528E-01   0.748240E+02
   258   0.528870E+04   0.314253E+01   0.238255E-01   0.763468E+02
   259   0.526674E+04   0.324355E+01   0.239979E-01   0.778545E+02
   260   0.524432E+04   0.334683E+01   0.241701E-01   0.793449E+02
   261   0.522143E+04   0.345236E+01   0.243420E-01   0.808187E+02
   262   0.519811E+04   0.356014E+01   0.245137E-01   0.822745E+02
   263   0.517435E+04   0.367018E+01   0.246850E-01   0.837122E+02
   264   0.515017E+04   0.378247E+01   0.248560E-01   0.851304E+02
   265   0.512556E+04   0.389699E+01   0.250266E-01   0.865299E+02
   266   0.510054E+04   0.401372E+01   0.251969E-01   0.879084E+02
   267   0.507511E+04   0.413267E+01   0.253668E-01   0.892651E+02
   268   0.504928E+04   0.425382E+01   0.255363E-01   0.906009E+02
   269   0.502305E+04   0.437715E+01   0.257054E-01   0.919136E+02
   270   0.499642E+04   0.450265E+01   0.258740E-01   0.932038E+02
   271   0.496942E+04   0.463032E+01   0.260423E-01   0.944694E+02
   272   0.494205E+04   0.476012E+01   0.262100E-01   0.957110E+02
   273   0.491432E+04   0.489204E+01   0.263773E-01   0.969274E+02
   274   0.488623E+04   0.502606E+01   0.265441E-01   0.981191E+02
   275   0.485780E+04   0.516215E+01   0.267105E-01   0.992840E+02
   276   0.482906E+04   0.530030E+01   0.268763E-01   0.100423E+03
   277   0.479999E+04   0.544049E+01   0.270416E-01   0.101534E+03
   278   0.477061E+04   0.558270E+01   0.272063E-01   0.102617E+03
   279   0.474093E+04   0.572688E+01   0.273705E-01   0.103673E+03
   280   0.471096E+04   0.587300E+01   0.275342E-01   0.104699E+03
   281   0.468072E+04   0.602106E+01   0.276972E-01   0.105696E+03
   282   0.465020E+04   0.617100E+01   0.278597E-01   0.106664E+03
   283   0.461943E+04   0.632280E+01   0.280216E-01   0.107602E+03
   284   0.458841E+04   0.647644E+01   0.281829E-01   0.108508E+03
   285   0.455715E+04   0.663187E+01   0.283436E-01   0.109383E+03
   286   0.452566E+04   0.678907E+01   0.285036E-01   0.110226E+03
   287   0.449396E+04   0.694797E+01   0.286630E-01   0.111038E+03
   288   0.446205E+04   0.710857E+01   0.288218E-01   0.111817E+03
   289   0.442994E+04   0.727081E+01   0.289800E-01   0.112564E+03
   290   0.439765E+04   0.743466E+01   0.291375E-01   0.113276E+03
   291   0.436519E+04   0.760009E+01   0.292943E-01   0.113956E+03
   292   0.433256E+04   0.776697E+01   0.294504E-01   0.114601E+03
   293   0.429977E+04   0.793537E+01   0.296059E-01   0.115212E+03
   294   0.426684E+04   0.810523E+01   0.297607E-01   0.115788E+03
   295   0.423376E+04   0.827638E+01   0.299148E-01   0.116329E+03
   296   0.420056E+04   0.844891E+01   0.300683E-01   0.116834E+03
   297   0.416723E+04   0.862266E+01   0.302210E-01   0.117302E+03
   298   0.413380E+04   0.879764E+01   0.303730E-01   0.117735E+03
   299   0.410026E+04   0.897378E+01   0.305243E-01   0.118131E+03
   300   0.406664E+04   0.915098E+01   0.306750E-01   0.118490E+03
   301   0.403294E+04   0.932934E+01   0.308249E-01   0.118812E+03
   302   0.399919E+04   0.950863E+01   0.309741E-01   0.119098E+03
   303   0.396537E+04   0.968892E+01   0.311226E-01   0.119346E+03
   304   0.393152E+04   0.987013E+01   0.312704E-01   0.119558E+03
   305   0.389765E+04   0.100522E+02   0.314175E-01   0.119731E+03
   306   0.386375E+04   0.102351E+02   0.315639E-01   0.119868E+03
   307   0.382985E+04   0.104187E+02   0.317096E-01   0.119966E+03
   308   0.379595E+04   0.106031E+02   0.318545E-01   0.120028E+03
   309   0.376207E+04   0.107880E+02   0.319988E-01   0.120051E+03
   310   0.372820E+04   0.109735E+02   0.321424E-01   0.120037E+03
   311   0.369437E+04   0.111595E+02   0.322852E-01   0.119984E+03
   312   0.366058E+04   0.113459E+02   0.324274E-01   0.119894E+03
   313   0.362684E+04   0.115327E+02   0.325689E-01   0.119765E+03
   314   0.359316E+04   0.117197E+02   0.327096E-01   0.119597E+03
   315   0.355955E+04   0.119070E+02   0.328497E-01   0.119392E+03
   316   0.352603E+04   0.120945E+02   0.329892E-01   0.119148E+03
   317   0.349260E+04   0.122820E+02   0.331279E-01   0.118867E+03
   318   0.345928E+04   0.124696E+02   0.332660E-01   0.118548E+03
   319   0.342606E+04   0.126572E+02   0.334034E-01   0.118190E+03
   320   0.339296E+04   0.128447E+02   0.335402E-01   0.117795E+03
   321   0.336000E+04   0.130320E+02   0.336763E-01   0.117363E+03
   322   0.332718E+04   0.132191E+02   0.338118E-01   0.116892E+03
   323   0.329451E+04   0.134058E+02   0.339467E-01   0.116384E+03
   324   0.326200E+04   0.135921E+02   0.340810E-01   0.115839E+03
   325   0.322965E+04   0.137780E+02   0.342146E-01   0.115257E+03
   326   0.319749E+04   0.139635E+02   0.343477E-01   0.114638E+03
   327   0.316550E+04   0.141483E+02   0.344801E-01   0.113981E+03
   328   0.313372E+04   0.143324E+02   0.346120E-01   0.113288E+03
   329   0.310214E+04   0.145158E+02   0.347434E-01   0.112560E+03
   330   0.307077E+04   0.146984E+02   0.348741E-01   0.111795E+03
   331   0.303962E+04   0.148801E+02   0.350044E-01   0.110994E+03
   332   0.300871E+04   0.150608E+02   0.351341E-01   0.110158E+03
   333   0.297802E+04   0.152406E+02   0.352633E-01   0.109287E+03
   334   0.294759E+04   0.154192E+02   0.353920E-01   0.108380E+03
   335   0.291741E+04   0.155966E+02   0.355202E-01   0.107440E+03
   336   0.288749E+04   0.157729E+02   0.356479E-01   0.106465E+03
   337   0.285784E+04   0.159478E+02   0.357752E-01   0.105457E+03
   338   0.282847E+04   0.161213E+02   0.359021E-01   0.104415E+03
   339   0.279939E+04   0.162935E+02   0.360285E-01   0.103342E+03
   340   0.277060E+04   0.164641E+02   0.361545E-01   0.102236E+03
   341   0.274211E+04   0.166332E+02   0.362801E-01   0.101098E+03
   342   0.271393E+04   0.168005E+02   0.364054E-01   0.999280E+02
   343   0.268606E+04   0.169662E+02   0.365302E-01   0.987273E+02
   344   0.265850E+04   0.171299E+02   0.366548E-01   0.974953E+02
   345   0.263125E+04   0.172918E+02   0.367790E-01   0.962326E+02
   346   0.260434E+04   0.174517E+02   0.369029E-01   0.949394E+02
   347   0.257774E+04   0.176095E+02   0.370265E-01   0.936163E+02
   348   0.255149E+04   0.177651E+02   0.371499E-01   0.922633E+02
   349   0.252558E+04   0.179186E+02   0.372730E-01   0.908827E+02
   350   0.250002E+04   0.180699E+02   0.373958E-01   0.894737E+02
   351   0.247482E+04   0.182189E+02   0.375185E-01   0.880378E+02
   352   0.244999E+04   0.183656E+02   0.376409E-01   0.865758E+02
   353   0.242552E+04   0.185099E+02   0.377632E-01   0.850876E+02
   354   0.240144E+04   0.186518E+02   0.378853E-01   0.835754E+02
