#    L    TT             EE             BB             TE          
   163    0.49297E+00    0.53864E-02    0.23520E-02   -0.89883E-02
   164    0.47949E+00    0.52734E-02    0.22986E-02   -0.70309E-02
   165    0.46809E+00    0.51611E-02    0.22464E-02   -0.51594E-02
   166    0.45867E+00    0.50495E-02    0.21955E-02   -0.33737E-02
   167    0.45113E+00    0.49387E-02    0.21460E-02   -0.16734E-02
   168    0.44535E+00    0.48288E-02    0.20978E-02   -0.58342E-04
   169    0.44125E+00    0.47198E-02    0.20509E-02    0.14718E-02
   170    0.43872E+00    0.46119E-02    0.20054E-02    0.29174E-02
   171    0.43764E+00    0.45051E-02    0.19613E-02    0.42786E-02
   172    0.43793E+00    0.43995E-02    0.19186E-02    0.55557E-02
   173    0.43947E+00    0.42951E-02    0.18774E-02    0.67490E-02
   174    0.44216E+00    0.41921E-02    0.18376E-02    0.78587E-02
   175    0.44591E+00    0.40905E-02    0.17993E-02    0.88852E-02
   176    0.45060E+00    0.39904E-02    0.17624E-02    0.98291E-02
   177    0.45618E+00    0.38919E-02    0.17270E-02    0.10692E-01
   178    0.46259E+00    0.37949E-02    0.16931E-02    0.11477E-01
   179    0.46976E+00    0.36996E-02    0.16606E-02    0.12186E-01
   180    0.47763E+00    0.36059E-02    0.16294E-02    0.12821E-01
   181    0.48614E+00    0.35140E-02    0.15997E-02    0.13385E-01
   182    0.49523E+00    0.34238E-02    0.15713E-02    0.13881E-01
   183    0.50485E+00    0.33354E-02    0.15441E-02    0.14309E-01
   184    0.51492E+00    0.32488E-02    0.15183E-02    0.14673E-01
   185    0.52540E+00    0.31641E-02    0.14938E-02    0.14976E-01
   186    0.53621E+00    0.30814E-02    0.14705E-02    0.15218E-01
   187    0.54730E+00    0.30006E-02    0.14483E-02    0.15404E-01
   188    0.55861E+00    0.29218E-02    0.14274E-02    0.15535E-01
   189    0.57008E+00    0.28451E-02    0.14077E-02    0.15613E-01
   190    0.58164E+00    0.27705E-02    0.13891E-02    0.15641E-01
   191    0.59323E+00    0.26980E-02    0.13715E-02    0.15621E-01
   192    0.60480E+00    0.26277E-02    0.13551E-02    0.15555E-01
   193    0.61628E+00    0.25597E-02    0.13398E-02    0.15447E-01
   194    0.62762E+00    0.24939E-02    0.13254E-02    0.15297E-01
   195    0.63875E+00    0.24304E-02    0.13121E-02    0.15110E-01
   196    0.64961E+00    0.23692E-02    0.12998E-02    0.14886E-01
   197    0.66014E+00    0.23105E-02    0.12884E-02    0.14628E-01
   198    0.67028E+00    0.22542E-02    0.12780E-02    0.14339E-01
   199    0.67996E+00    0.22004E-02    0.12685E-02    0.14020E-01
   200    0.68914E+00    0.21491E-02    0.12598E-02    0.13675E-01
   201    0.69776E+00    0.21003E-02    0.12520E-02    0.13305E-01
   202    0.70581E+00    0.20541E-02    0.12451E-02    0.12912E-01
   203    0.71331E+00    0.20103E-02    0.12389E-02    0.12497E-01
   204    0.72026E+00    0.19690E-02    0.12336E-02    0.12061E-01
   205    0.72668E+00    0.19300E-02    0.12290E-02    0.11604E-01
   206    0.73256E+00    0.18934E-02    0.12251E-02    0.11128E-01
   207    0.73792E+00    0.18590E-02    0.12219E-02    0.10635E-01
   208    0.74277E+00    0.18269E-02    0.12194E-02    0.10124E-01
   209    0.74712E+00    0.17969E-02    0.12175E-02    0.95981E-02
   210    0.75097E+00    0.17691E-02    0.12163E-02    0.90572E-02
   211    0.75433E+00    0.17433E-02    0.12156E-02    0.85027E-02
   212    0.75721E+00    0.17195E-02    0.12155E-02    0.79356E-02
   213    0.75963E+00    0.16978E-02    0.12160E-02    0.73571E-02
   214    0.76158E+00    0.16779E-02    0.12170E-02    0.67682E-02
   215    0.76308E+00    0.16600E-02    0.12185E-02    0.61700E-02
   216    0.76413E+00    0.16439E-02    0.12204E-02    0.55635E-02
   217    0.76475E+00    0.16295E-02    0.12228E-02    0.49500E-02
   218    0.76494E+00    0.16169E-02    0.12256E-02    0.43303E-02
   219    0.76471E+00    0.16060E-02    0.12288E-02    0.37057E-02
   220    0.76407E+00    0.15967E-02    0.12323E-02    0.30772E-02
   221    0.76303E+00    0.15890E-02    0.12362E-02    0.24459E-02
   222    0.76159E+00    0.15828E-02    0.12403E-02    0.18129E-02
   223    0.75977E+00    0.15782E-02    0.12448E-02    0.11791E-02
   224    0.75757E+00    0.15749E-02    0.12495E-02    0.54585E-03
   225    0.75501E+00    0.15731E-02    0.12545E-02   -0.85944E-04
   226    0.75208E+00    0.15726E-02    0.12596E-02   -0.71516E-03
   227    0.74880E+00    0.15733E-02    0.12649E-02   -0.13407E-02
   228    0.74518E+00    0.15754E-02    0.12704E-02   -0.19615E-02
   229    0.74123E+00    0.15786E-02    0.12760E-02   -0.25765E-02
   230    0.73695E+00    0.15829E-02    0.12817E-02   -0.31846E-02
