#    L    TT             EE             BB             TE          
   131    0.26007E+02    0.86868E-01    0.44919E-01   -0.11322E+01
   132    0.24674E+02    0.86017E-01    0.44167E-01   -0.10894E+01
   133    0.23396E+02    0.85142E-01    0.43414E-01   -0.10470E+01
   134    0.22170E+02    0.84244E-01    0.42661E-01   -0.10051E+01
   135    0.20996E+02    0.83324E-01    0.41908E-01   -0.96359E+00
   136    0.19874E+02    0.82384E-01    0.41156E-01   -0.92263E+00
   137    0.18801E+02    0.81424E-01    0.40406E-01   -0.88220E+00
   138    0.17777E+02    0.80445E-01    0.39658E-01   -0.84233E+00
   139    0.16800E+02    0.79449E-01    0.38912E-01   -0.80303E+00
   140    0.15870E+02    0.78436E-01    0.38169E-01   -0.76434E+00
   141    0.14986E+02    0.77409E-01    0.37431E-01   -0.72628E+00
   142    0.14146E+02    0.76367E-01    0.36696E-01   -0.68887E+00
   143    0.13349E+02    0.75312E-01    0.35967E-01   -0.65213E+00
   144    0.12594E+02    0.74245E-01    0.35243E-01   -0.61611E+00
   145    0.11881E+02    0.73167E-01    0.34526E-01   -0.58081E+00
   146    0.11207E+02    0.72079E-01    0.33815E-01   -0.54626E+00
   147    0.10573E+02    0.70983E-01    0.33112E-01   -0.51249E+00
   148    0.99758E+01    0.69879E-01    0.32416E-01   -0.47953E+00
   149    0.94159E+01    0.68768E-01    0.31729E-01   -0.44739E+00
   150    0.88916E+01    0.67652E-01    0.31051E-01   -0.41611E+00
   151    0.84019E+01    0.66532E-01    0.30383E-01   -0.38569E+00
   152    0.79458E+01    0.65408E-01    0.29725E-01   -0.35616E+00
   153    0.75223E+01    0.64281E-01    0.29077E-01   -0.32749E+00
   154    0.71303E+01    0.63152E-01    0.28439E-01   -0.29970E+00
   155    0.67688E+01    0.62022E-01    0.27811E-01   -0.27277E+00
   156    0.64369E+01    0.60892E-01    0.27194E-01   -0.24671E+00
   157    0.61335E+01    0.59761E-01    0.26589E-01   -0.22151E+00
