#    L    TT             EE             BB             TE             PP             TP             EP          
   104    0.28184E+04    0.82440E+00    0.00000E+00   -0.25707E+02    0.99131E-07    0.36106E-03   -0.80045E-06
   105    0.28505E+04    0.83828E+00    0.00000E+00   -0.26363E+02    0.98516E-07    0.35697E-03   -0.77531E-06
   106    0.28828E+04    0.85202E+00    0.00000E+00   -0.27018E+02    0.97905E-07    0.35296E-03   -0.75220E-06
   107    0.29150E+04    0.86545E+00    0.00000E+00   -0.27670E+02    0.97298E-07    0.34902E-03   -0.73149E-06
   108    0.29476E+04    0.87867E+00    0.00000E+00   -0.28320E+02    0.96695E-07    0.34514E-03   -0.71356E-06
   109    0.29803E+04    0.89158E+00    0.00000E+00   -0.28966E+02    0.96096E-07    0.34132E-03   -0.69879E-06
   110    0.30131E+04    0.90420E+00    0.00000E+00   -0.29608E+02    0.95501E-07    0.33756E-03   -0.68755E-06
   111    0.30461E+04    0.91660E+00    0.00000E+00   -0.30246E+02    0.94910E-07    0.33385E-03   -0.68012E-06
   112    0.30793E+04    0.92869E+00    0.00000E+00   -0.30881E+02    0.94324E-07    0.33020E-03   -0.67634E-06
   113    0.31126E+04    0.94049E+00    0.00000E+00   -0.31509E+02    0.93741E-07    0.32659E-03   -0.67597E-06
   114    0.31461E+04    0.95192E+00    0.00000E+00   -0.32131E+02    0.93163E-07    0.32304E-03   -0.67876E-06
   115    0.31798E+04    0.96312E+00    0.00000E+00   -0.32747E+02    0.92589E-07    0.31953E-03   -0.68446E-06
   116    0.32135E+04    0.97387E+00    0.00000E+00   -0.33355E+02    0.92019E-07    0.31608E-03   -0.69282E-06
   117    0.32475E+04    0.98425E+00    0.00000E+00   -0.33955E+02    0.91453E-07    0.31267E-03   -0.70359E-06
   118    0.32816E+04    0.99440E+00    0.00000E+00   -0.34548E+02    0.90891E-07    0.30932E-03   -0.71653E-06
   119    0.33158E+04    0.10042E+01    0.00000E+00   -0.35131E+02    0.90333E-07    0.30601E-03   -0.73137E-06
   120    0.33501E+04    0.10134E+01    0.00000E+00   -0.35704E+02    0.89780E-07    0.30275E-03   -0.74789E-06
   121    0.33844E+04    0.10225E+01    0.00000E+00   -0.36268E+02    0.89230E-07    0.29954E-03   -0.76582E-06
   122    0.34187E+04    0.10310E+01    0.00000E+00   -0.36821E+02    0.88685E-07    0.29638E-03   -0.78493E-06
   123    0.34532E+04    0.10390E+01    0.00000E+00   -0.37363E+02    0.88143E-07    0.29327E-03   -0.80495E-06
   124    0.34877E+04    0.10467E+01    0.00000E+00   -0.37891E+02    0.87606E-07    0.29020E-03   -0.82565E-06
   125    0.35222E+04    0.10539E+01    0.00000E+00   -0.38408E+02    0.87073E-07    0.28718E-03   -0.84677E-06
   126    0.35568E+04    0.10608E+01    0.00000E+00   -0.38913E+02    0.86544E-07    0.28420E-03   -0.86807E-06
   127    0.35914E+04    0.10671E+01    0.00000E+00   -0.39404E+02    0.86019E-07    0.28127E-03   -0.88930E-06
   128    0.36260E+04    0.10731E+01    0.00000E+00   -0.39882E+02    0.85498E-07    0.27839E-03   -0.91021E-06
   129    0.36606E+04    0.10785E+01    0.00000E+00   -0.40345E+02    0.84982E-07    0.27555E-03   -0.93055E-06
   130    0.36952E+04    0.10834E+01    0.00000E+00   -0.40792E+02    0.84469E-07    0.27275E-03   -0.95008E-06
   131    0.37298E+04    0.10879E+01    0.00000E+00   -0.41225E+02    0.83961E-07    0.27000E-03   -0.96859E-06
   132    0.37645E+04    0.10919E+01    0.00000E+00   -0.41642E+02    0.83456E-07    0.26729E-03   -0.98603E-06
   133    0.37991E+04    0.10955E+01    0.00000E+00   -0.42043E+02    0.82956E-07    0.26463E-03   -0.10024E-05
   134    0.38337E+04    0.10986E+01    0.00000E+00   -0.42426E+02    0.82459E-07    0.26200E-03   -0.10176E-05
   135    0.38683E+04    0.11011E+01    0.00000E+00   -0.42792E+02    0.81967E-07    0.25942E-03   -0.10318E-05
   136    0.39027E+04    0.11032E+01    0.00000E+00   -0.43138E+02    0.81479E-07    0.25688E-03   -0.10448E-05
   137    0.39371E+04    0.11048E+01    0.00000E+00   -0.43467E+02    0.80994E-07    0.25437E-03   -0.10566E-05
   138    0.39715E+04    0.11059E+01    0.00000E+00   -0.43776E+02    0.80514E-07    0.25191E-03   -0.10674E-05
   139    0.40056E+04    0.11065E+01    0.00000E+00   -0.44066E+02    0.80037E-07    0.24948E-03   -0.10769E-05
   140    0.40398E+04    0.11066E+01    0.00000E+00   -0.44337E+02    0.79564E-07    0.24709E-03   -0.10853E-05
   141    0.40738E+04    0.11062E+01    0.00000E+00   -0.44587E+02    0.79095E-07    0.24473E-03   -0.10924E-05
   142    0.41077E+04    0.11053E+01    0.00000E+00   -0.44816E+02    0.78630E-07    0.24241E-03   -0.10984E-05
   143    0.41416E+04    0.11040E+01    0.00000E+00   -0.45025E+02    0.78169E-07    0.24012E-03   -0.11032E-05
   144    0.41753E+04    0.11021E+01    0.00000E+00   -0.45212E+02    0.77711E-07    0.23787E-03   -0.11067E-05
   145    0.42088E+04    0.10999E+01    0.00000E+00   -0.45378E+02    0.77257E-07    0.23565E-03   -0.11089E-05
   146    0.42424E+04    0.10971E+01    0.00000E+00   -0.45522E+02    0.76807E-07    0.23346E-03   -0.11099E-05
   147    0.42756E+04    0.10938E+01    0.00000E+00   -0.45643E+02    0.76360E-07    0.23130E-03   -0.11097E-05
   148    0.43087E+04    0.10901E+01    0.00000E+00   -0.45742E+02    0.75917E-07    0.22917E-03   -0.11081E-05
   149    0.43417E+04    0.10859E+01    0.00000E+00   -0.45818E+02    0.75478E-07    0.22707E-03   -0.11053E-05
   150    0.43744E+04    0.10814E+01    0.00000E+00   -0.45869E+02    0.75042E-07    0.22500E-03   -0.11011E-05
   151    0.44070E+04    0.10764E+01    0.00000E+00   -0.45897E+02    0.74610E-07    0.22296E-03   -0.10956E-05
   152    0.44393E+04    0.10708E+01    0.00000E+00   -0.45901E+02    0.74181E-07    0.22094E-03   -0.10889E-05
   153    0.44714E+04    0.10649E+01    0.00000E+00   -0.45879E+02    0.73756E-07    0.21895E-03   -0.10809E-05
   154    0.45033E+04    0.10586E+01    0.00000E+00   -0.45833E+02    0.73335E-07    0.21699E-03   -0.10719E-05
   155    0.45350E+04    0.10520E+01    0.00000E+00   -0.45763E+02    0.72917E-07    0.21505E-03   -0.10618E-05
   156    0.45664E+04    0.10450E+01    0.00000E+00   -0.45668E+02    0.72502E-07    0.21314E-03   -0.10507E-05
   157    0.45976E+04    0.10375E+01    0.00000E+00   -0.45546E+02    0.72091E-07    0.21125E-03   -0.10386E-05
   158    0.46286E+04    0.10298E+01    0.00000E+00   -0.45399E+02    0.71683E-07    0.20938E-03   -0.10257E-05
   159    0.46592E+04    0.10217E+01    0.00000E+00   -0.45227E+02    0.71278E-07    0.20754E-03   -0.10121E-05
   160    0.46897E+04    0.10132E+01    0.00000E+00   -0.45027E+02    0.70877E-07    0.20573E-03   -0.99769E-06
   161    0.47199E+04    0.10046E+01    0.00000E+00   -0.44802E+02    0.70480E-07    0.20393E-03   -0.98265E-06
   162    0.47498E+04    0.99551E+00    0.00000E+00   -0.44551E+02    0.70085E-07    0.20216E-03   -0.96703E-06
   163    0.47795E+04    0.98617E+00    0.00000E+00   -0.44273E+02    0.69694E-07    0.20041E-03   -0.95088E-06
   164    0.48088E+04    0.97659E+00    0.00000E+00   -0.43970E+02    0.69306E-07    0.19868E-03   -0.93429E-06
   165    0.48379E+04    0.96672E+00    0.00000E+00   -0.43639E+02    0.68921E-07    0.19698E-03   -0.91731E-06
   166    0.48668E+04    0.95670E+00    0.00000E+00   -0.43281E+02    0.68540E-07    0.19529E-03   -0.90001E-06
   167    0.48954E+04    0.94631E+00    0.00000E+00   -0.42897E+02    0.68162E-07    0.19363E-03   -0.88247E-06
   168    0.49235E+04    0.93591E+00    0.00000E+00   -0.42486E+02    0.67786E-07    0.19198E-03   -0.86475E-06
   169    0.49513E+04    0.92522E+00    0.00000E+00   -0.42047E+02    0.67414E-07    0.19035E-03   -0.84691E-06
   170    0.49788E+04    0.91445E+00    0.00000E+00   -0.41581E+02    0.67046E-07    0.18874E-03   -0.82902E-06
   171    0.50059E+04    0.90361E+00    0.00000E+00   -0.41086E+02    0.66680E-07    0.18715E-03   -0.81115E-06
   172    0.50326E+04    0.89262E+00    0.00000E+00   -0.40564E+02    0.66317E-07    0.18558E-03   -0.79337E-06
   173    0.50588E+04    0.88148E+00    0.00000E+00   -0.40015E+02    0.65958E-07    0.18403E-03   -0.77575E-06
   174    0.50847E+04    0.87049E+00    0.00000E+00   -0.39438E+02    0.65601E-07    0.18249E-03   -0.75834E-06
   175    0.51102E+04    0.85935E+00    0.00000E+00   -0.38834E+02    0.65247E-07    0.18097E-03   -0.74123E-06
   176    0.51351E+04    0.84829E+00    0.00000E+00   -0.38201E+02    0.64897E-07    0.17947E-03   -0.72445E-06
   177    0.51597E+04    0.83723E+00    0.00000E+00   -0.37542E+02    0.64549E-07    0.17798E-03   -0.70801E-06
   178    0.51838E+04    0.82639E+00    0.00000E+00   -0.36854E+02    0.64205E-07    0.17650E-03   -0.69190E-06
   179    0.52075E+04    0.81548E+00    0.00000E+00   -0.36138E+02    0.63863E-07    0.17504E-03   -0.67608E-06
   180    0.52308E+04    0.80472E+00    0.00000E+00   -0.35396E+02    0.63524E-07    0.17360E-03   -0.66054E-06
   181    0.52536E+04    0.79412E+00    0.00000E+00   -0.34627E+02    0.63188E-07    0.17217E-03   -0.64527E-06
   182    0.52759E+04    0.78374E+00    0.00000E+00   -0.33830E+02    0.62854E-07    0.17076E-03   -0.63025E-06
   183    0.52977E+04    0.77351E+00    0.00000E+00   -0.33007E+02    0.62524E-07    0.16936E-03   -0.61546E-06
   184    0.53191E+04    0.76351E+00    0.00000E+00   -0.32156E+02    0.62196E-07    0.16797E-03   -0.60087E-06
   185    0.53401E+04    0.75389E+00    0.00000E+00   -0.31280E+02    0.61871E-07    0.16660E-03   -0.58648E-06
   186    0.53602E+04    0.74450E+00    0.00000E+00   -0.30376E+02    0.61549E-07    0.16524E-03   -0.57226E-06
   187    0.53801E+04    0.73550E+00    0.00000E+00   -0.29446E+02    0.61229E-07    0.16390E-03   -0.55820E-06
   188    0.53995E+04    0.72685E+00    0.00000E+00   -0.28490E+02    0.60912E-07    0.16256E-03   -0.54428E-06
   189    0.54183E+04    0.71861E+00    0.00000E+00   -0.27508E+02    0.60598E-07    0.16124E-03   -0.53047E-06
   190    0.54370E+04    0.71082E+00    0.00000E+00   -0.26502E+02    0.60286E-07    0.15994E-03   -0.51677E-06
   191    0.54547E+04    0.70351E+00    0.00000E+00   -0.25468E+02    0.59977E-07    0.15864E-03   -0.50315E-06
   192    0.54721E+04    0.69670E+00    0.00000E+00   -0.24409E+02    0.59670E-07    0.15736E-03   -0.48960E-06
   193    0.54888E+04    0.69043E+00    0.00000E+00   -0.23327E+02    0.59366E-07    0.15608E-03   -0.47609E-06
   194    0.55052E+04    0.68474E+00    0.00000E+00   -0.22219E+02    0.59064E-07    0.15482E-03   -0.46261E-06
   195    0.55210E+04    0.67966E+00    0.00000E+00   -0.21087E+02    0.58765E-07    0.15357E-03   -0.44915E-06
   196    0.55361E+04    0.67524E+00    0.00000E+00   -0.19931E+02    0.58468E-07    0.15233E-03   -0.43568E-06
   197    0.55508E+04    0.67150E+00    0.00000E+00   -0.18752E+02    0.58173E-07    0.15110E-03   -0.42218E-06
   198    0.55650E+04    0.66849E+00    0.00000E+00   -0.17550E+02    0.57881E-07    0.14989E-03   -0.40864E-06
   199    0.55787E+04    0.66623E+00    0.00000E+00   -0.16325E+02    0.57592E-07    0.14868E-03   -0.39503E-06
   200    0.55918E+04    0.66476E+00    0.00000E+00   -0.15078E+02    0.57304E-07    0.14748E-03   -0.38135E-06
   201    0.56043E+04    0.66414E+00    0.00000E+00   -0.13808E+02    0.57019E-07    0.14629E-03   -0.36757E-06
   202    0.56163E+04    0.66437E+00    0.00000E+00   -0.12517E+02    0.56736E-07    0.14511E-03   -0.35370E-06
   203    0.56277E+04    0.66551E+00    0.00000E+00   -0.11204E+02    0.56455E-07    0.14394E-03   -0.33975E-06
   204    0.56384E+04    0.66759E+00    0.00000E+00   -0.98722E+01    0.56177E-07    0.14277E-03   -0.32570E-06
   205    0.56486E+04    0.67065E+00    0.00000E+00   -0.85189E+01    0.55900E-07    0.14162E-03   -0.31158E-06
   206    0.56581E+04    0.67474E+00    0.00000E+00   -0.71457E+01    0.55626E-07    0.14048E-03   -0.29738E-06
